Name,Sex,Team,NOC,Year,City,Sport,Event,Medal,Legendary_Coach,Unnamed: 0,Num_Athletes,Female_Ratio,Num_Sports,Num_Events,Rank,Gold,Silver,Bronze,Total,Total_Events,Total_Discipline,Total_Sports,Is_Host
Ladislava (hniz-),F,United States,USA,1948,London,Gymnastics,Gymnastics Women's Team All-Around,Bronze,No,,,,,,,,,,,,,,
Marian (twining-),F,United States,USA,1948,London,Gymnastics,Gymnastics Women's Team All-Around,Bronze,No,,,,,,,,,,,,,,
Marian (twining-),F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Individual All-Around,No medal,No,,,,,,,,,,,,,,
Marian (twining-),F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Team All-Around,No medal,No,,,,,,,,,,,,,,
Marian (twining-),F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Team Portable Apparatus,No medal,No,,,,,,,,,,,,,,
Marian (twining-),F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Floor Exercise,No medal,No,,,,,,,,,,,,,,
Marian (twining-),F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Horse Vault,No medal,No,,,,,,,,,,,,,,
Marian (twining-),F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Uneven Bars,No medal,No,,,,,,,,,,,,,,
Marian (twining-),F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Balance Beam,No medal,No,,,,,,,,,,,,,,
Mohini (-barry),F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Individual All-Around,No medal,Yes,,,,,,,,,,,,,,
Mohini (-barry),F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Team All-Around,Silver,Yes,,,,,,,,,,,,,,
Mohini (-barry),F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Floor Exercise,No medal,Yes,,,,,,,,,,,,,,
Mohini (-barry),F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Horse Vault,No medal,Yes,,,,,,,,,,,,,,
Mohini (-barry),F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Uneven Bars,No medal,Yes,,,,,,,,,,,,,,
Mohini (-barry),F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Balance Beam,No medal,Yes,,,,,,,,,,,,,,
Pamela (-flat),F,United States,USA,1984,Los Angeles,Gymnastics,Gymnastics Women's Individual All-Around,No medal,Yes,,,,,,,,,,,,,,
Pamela (-flat),F,United States,USA,1984,Los Angeles,Gymnastics,Gymnastics Women's Team All-Around,Silver,Yes,,,,,,,,,,,,,,
Pamela (-flat),F,United States,USA,1984,Los Angeles,Gymnastics,Gymnastics Women's Floor Exercise,No medal,Yes,,,,,,,,,,,,,,
Pamela (-flat),F,United States,USA,1984,Los Angeles,Gymnastics,Gymnastics Women's Horse Vault,No medal,Yes,,,,,,,,,,,,,,
Pamela (-flat),F,United States,USA,1984,Los Angeles,Gymnastics,Gymnastics Women's Uneven Bars,No medal,Yes,,,,,,,,,,,,,,
Pamela (-flat),F,United States,USA,1984,Los Angeles,Gymnastics,Gymnastics Women's Balance Beam,No medal,Yes,,,,,,,,,,,,,,
Simone Biles,F,United States,USA,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,Gold,Yes,,,,,,,,,,,,,,
Simone Biles,F,United States,USA,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,Gold,Yes,,,,,,,,,,,,,,
Simone Biles,F,United States,USA,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise,Gold,Yes,,,,,,,,,,,,,,
Simone Biles,F,United States,USA,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Horse Vault,Gold,Yes,,,,,,,,,,,,,,
Simone Biles,F,United States,USA,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,No medal,Yes,,,,,,,,,,,,,,
Simone Biles,F,United States,USA,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,Bronze,Yes,,,,,,,,,,,,,,
Amanda (-cochran),F,United States,USA,1996,Atlanta,Gymnastics,Gymnastics Women's Individual All-Around,No medal,Yes,,,,,,,,,,,,,,
Amanda (-cochran),F,United States,USA,1996,Atlanta,Gymnastics,Gymnastics Women's Team All-Around,Gold,Yes,,,,,,,,,,,,,,
Amanda (-cochran),F,United States,USA,1996,Atlanta,Gymnastics,Gymnastics Women's Floor Exercise,No medal,Yes,,,,,,,,,,,,,,
Amanda (-cochran),F,United States,USA,1996,Atlanta,Gymnastics,Gymnastics Women's Balance Beam,No medal,Yes,,,,,,,,,,,,,,
Wendy (-martin),F,United States,USA,1992,Barcelona,Gymnastics,Gymnastics Women's Individual All-Around,No medal,No,,,,,,,,,,,,,,
Wendy (-martin),F,United States,USA,1992,Barcelona,Gymnastics,Gymnastics Women's Team All-Around,Bronze,No,,,,,,,,,,,,,,
Wendy (-martin),F,United States,USA,1992,Barcelona,Gymnastics,Gymnastics Women's Floor Exercise,No medal,No,,,,,,,,,,,,,,
Wendy (-martin),F,United States,USA,1992,Barcelona,Gymnastics,Gymnastics Women's Horse Vault,No medal,No,,,,,,,,,,,,,,
Wendy (-martin),F,United States,USA,1992,Barcelona,Gymnastics,Gymnastics Women's Uneven Bars,No medal,No,,,,,,,,,,,,,,
Wendy (-martin),F,United States,USA,1992,Barcelona,Gymnastics,Gymnastics Women's Balance Beam,No medal,No,,,,,,,,,,,,,,
Jean (-pascuzzi),F,United States,USA,1936,Berlin,Gymnastics,Gymnastics Women's Team All-Around,No medal,No,,,,,,,,,,,,,,
Consetta Caruccio-lenz,F,United States,USA,1936,Berlin,Gymnastics,Gymnastics Women's Team All-Around,No medal,No,,,,,,,,,,,,,,
Consetta Caruccio-lenz,F,United States,USA,1948,London,Gymnastics,Gymnastics Women's Team All-Around,Bronze,No,,,,,,,,,,,,,,
Colleen (-shields),F,United States,USA,1976,Montreal,Gymnastics,Gymnastics Women's Individual All-Around,No medal,Yes,,,,,,,,,,,,,,
Colleen (-shields),F,United States,USA,1976,Montreal,Gymnastics,Gymnastics Women's Team All-Around,No medal,Yes,,,,,,,,,,,,,,
Colleen (-shields),F,United States,USA,1976,Montreal,Gymnastics,Gymnastics Women's Floor Exercise,No medal,Yes,,,,,,,,,,,,,,
Colleen (-shields),F,United States,USA,1976,Montreal,Gymnastics,Gymnastics Women's Horse Vault,No medal,Yes,,,,,,,,,,,,,,
Colleen (-shields),F,United States,USA,1976,Montreal,Gymnastics,Gymnastics Women's Uneven Bars,No medal,Yes,,,,,,,,,,,,,,
Colleen (-shields),F,United States,USA,1976,Montreal,Gymnastics,Gymnastics Women's Balance Beam,No medal,Yes,,,,,,,,,,,,,,
Kimberly -may),F,United States,USA,1972,Munich,Gymnastics,Gymnastics Women's Individual All-Around,No medal,No,,,,,,,,,,,,,,
Kimberly -may),F,United States,USA,1972,Munich,Gymnastics,Gymnastics Women's Team All-Around,No medal,No,,,,,,,,,,,,,,
Kimberly -may),F,United States,USA,1972,Munich,Gymnastics,Gymnastics Women's Floor Exercise,No medal,No,,,,,,,,,,,,,,
Kimberly -may),F,United States,USA,1972,Munich,Gymnastics,Gymnastics Women's Horse Vault,No medal,No,,,,,,,,,,,,,,
Kimberly -may),F,United States,USA,1972,Munich,Gymnastics,Gymnastics Women's Uneven Bars,No medal,No,,,,,,,,,,,,,,
Kimberly -may),F,United States,USA,1972,Munich,Gymnastics,Gymnastics Women's Balance Beam,No medal,No,,,,,,,,,,,,,,
Kimberly -may),F,United States,USA,1976,Montreal,Gymnastics,Gymnastics Women's Individual All-Around,No medal,Yes,,,,,,,,,,,,,,
Kimberly -may),F,United States,USA,1976,Montreal,Gymnastics,Gymnastics Women's Team All-Around,No medal,Yes,,,,,,,,,,,,,,
Kimberly -may),F,United States,USA,1976,Montreal,Gymnastics,Gymnastics Women's Floor Exercise,No medal,Yes,,,,,,,,,,,,,,
Kimberly -may),F,United States,USA,1976,Montreal,Gymnastics,Gymnastics Women's Horse Vault,No medal,Yes,,,,,,,,,,,,,,
Kimberly -may),F,United States,USA,1976,Montreal,Gymnastics,Gymnastics Women's Uneven Bars,No medal,Yes,,,,,,,,,,,,,,
Kimberly -may),F,United States,USA,1976,Montreal,Gymnastics,Gymnastics Women's Balance Beam,No medal,Yes,,,,,,,,,,,,,,
Amy (-ho),F,United States,USA,1996,Atlanta,Gymnastics,Gymnastics Women's Individual All-Around,No medal,Yes,,,,,,,,,,,,,,
Amy (-ho),F,United States,USA,1996,Atlanta,Gymnastics,Gymnastics Women's Team All-Around,Gold,Yes,,,,,,,,,,,,,,
Amy (-ho),F,United States,USA,1996,Atlanta,Gymnastics,Gymnastics Women's Horse Vault,No medal,Yes,,,,,,,,,,,,,,
Amy (-ho),F,United States,USA,1996,Atlanta,Gymnastics,Gymnastics Women's Uneven Bars,Silver,Yes,,,,,,,,,,,,,,
Amy (-ho),F,United States,USA,2000,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,No medal,Yes,,,,,,,,,,,,,,
Amy (-ho),F,United States,USA,2000,Sydney,Gymnastics,Gymnastics Women's Team All-Around,Bronze,Yes,,,,,,,,,,,,,,
Amy (-ho),F,United States,USA,2000,Sydney,Gymnastics,Gymnastics Women's Floor Exercise,No medal,Yes,,,,,,,,,,,,,,
Amy (-ho),F,United States,USA,2000,Sydney,Gymnastics,Gymnastics Women's Horse Vault,No medal,Yes,,,,,,,,,,,,,,
Amy (-ho),F,United States,USA,2000,Sydney,Gymnastics,Gymnastics Women's Uneven Bars,No medal,Yes,,,,,,,,,,,,,,
Amy (-ho),F,United States,USA,2000,Sydney,Gymnastics,Gymnastics Women's Balance Beam,No medal,Yes,,,,,,,,,,,,,,
Wendy (-perez),F,United States,USA,1968,Mexico City,Gymnastics,Gymnastics Women's Individual All-Around,No medal,No,,,,,,,,,,,,,,
Wendy (-perez),F,United States,USA,1968,Mexico City,Gymnastics,Gymnastics Women's Team All-Around,No medal,No,,,,,,,,,,,,,,
Wendy (-perez),F,United States,USA,1968,Mexico City,Gymnastics,Gymnastics Women's Floor Exercise,No medal,No,,,,,,,,,,,,,,
Wendy (-perez),F,United States,USA,1968,Mexico City,Gymnastics,Gymnastics Women's Horse Vault,No medal,No,,,,,,,,,,,,,,
Wendy (-perez),F,United States,USA,1968,Mexico City,Gymnastics,Gymnastics Women's Uneven Bars,No medal,No,,,,,,,,,,,,,,
Wendy (-perez),F,United States,USA,1968,Mexico City,Gymnastics,Gymnastics Women's Balance Beam,No medal,No,,,,,,,,,,,,,,
Kathleen (-ekas),F,United States,USA,1964,Tokyo,Gymnastics,Gymnastics Women's Individual All-Around,No medal,No,,,,,,,,,,,,,,
Kathleen (-ekas),F,United States,USA,1964,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,No medal,No,,,,,,,,,,,,,,
Kathleen (-ekas),F,United States,USA,1964,Tokyo,Gymnastics,Gymnastics Women's Floor Exercise,No medal,No,,,,,,,,,,,,,,
Kathleen (-ekas),F,United States,USA,1964,Tokyo,Gymnastics,Gymnastics Women's Horse Vault,No medal,No,,,,,,,,,,,,,,
Kathleen (-ekas),F,United States,USA,1964,Tokyo,Gymnastics,Gymnastics Women's Uneven Bars,No medal,No,,,,,,,,,,,,,,
Kathleen (-ekas),F,United States,USA,1964,Tokyo,Gymnastics,Gymnastics Women's Balance Beam,No medal,No,,,,,,,,,,,,,,
Dorothy Dalton,F,United States,USA,1948,London,Gymnastics,Gymnastics Women's Team All-Around,Bronze,No,,,,,,,,,,,,,,
Dorothy Dalton,F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Individual All-Around,No medal,No,,,,,,,,,,,,,,
Dorothy Dalton,F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Team All-Around,No medal,No,,,,,,,,,,,,,,
Dorothy Dalton,F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Team Portable Apparatus,No medal,No,,,,,,,,,,,,,,
Dorothy Dalton,F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Floor Exercise,No medal,No,,,,,,,,,,,,,,
Dorothy Dalton,F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Horse Vault,No medal,No,,,,,,,,,,,,,,
Dorothy Dalton,F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Uneven Bars,No medal,No,,,,,,,,,,,,,,
Dorothy Dalton,F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Balance Beam,No medal,No,,,,,,,,,,,,,,
Jamie Dantzscher,F,United States,USA,2000,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,No medal,Yes,,,,,,,,,,,,,,
Jamie Dantzscher,F,United States,USA,2000,Sydney,Gymnastics,Gymnastics Women's Team All-Around,Bronze,Yes,,,,,,,,,,,,,,
Jamie Dantzscher,F,United States,USA,2000,Sydney,Gymnastics,Gymnastics Women's Floor Exercise,No medal,Yes,,,,,,,,,,,,,,
Jamie Dantzscher,F,United States,USA,2000,Sydney,Gymnastics,Gymnastics Women's Horse Vault,No medal,Yes,,,,,,,,,,,,,,
Muriel Davis-grossfeld,F,United States,USA,1956,Melbourne,Gymnastics,Gymnastics Women's Individual All-Around,No medal,No,,,,,,,,,,,,,,
Muriel Davis-grossfeld,F,United States,USA,1956,Melbourne,Gymnastics,Gymnastics Women's Team All-Around,No medal,No,,,,,,,,,,,,,,
Muriel Davis-grossfeld,F,United States,USA,1956,Melbourne,Gymnastics,Gymnastics Women's Team Portable Apparatus,No medal,No,,,,,,,,,,,,,,
Muriel Davis-grossfeld,F,United States,USA,1956,Melbourne,Gymnastics,Gymnastics Women's Floor Exercise,No medal,No,,,,,,,,,,,,,,
Muriel Davis-grossfeld,F,United States,USA,1956,Melbourne,Gymnastics,Gymnastics Women's Horse Vault,No medal,No,,,,,,,,,,,,,,
Muriel Davis-grossfeld,F,United States,USA,1956,Melbourne,Gymnastics,Gymnastics Women's Uneven Bars,No medal,No,,,,,,,,,,,,,,
Muriel Davis-grossfeld,F,United States,USA,1956,Melbourne,Gymnastics,Gymnastics Women's Balance Beam,No medal,No,,,,,,,,,,,,,,
Muriel Davis-grossfeld,F,United States,USA,1960,Roma,Gymnastics,Gymnastics Women's Individual All-Around,No medal,No,,,,,,,,,,,,,,
Muriel Davis-grossfeld,F,United States,USA,1960,Roma,Gymnastics,Gymnastics Women's Team All-Around,No medal,No,,,,,,,,,,,,,,
Muriel Davis-grossfeld,F,United States,USA,1960,Roma,Gymnastics,Gymnastics Women's Floor Exercise,No medal,No,,,,,,,,,,,,,,
Muriel Davis-grossfeld,F,United States,USA,1960,Roma,Gymnastics,Gymnastics Women's Horse Vault,No medal,No,,,,,,,,,,,,,,
Muriel Davis-grossfeld,F,United States,USA,1960,Roma,Gymnastics,Gymnastics Women's Uneven Bars,No medal,No,,,,,,,,,,,,,,
Muriel Davis-grossfeld,F,United States,USA,1960,Roma,Gymnastics,Gymnastics Women's Balance Beam,No medal,No,,,,,,,,,,,,,,
Muriel Davis-grossfeld,F,United States,USA,1964,Tokyo,Gymnastics,Gymnastics Women's Individual All-Around,No medal,No,,,,,,,,,,,,,,
Muriel Davis-grossfeld,F,United States,USA,1964,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,No medal,No,,,,,,,,,,,,,,
Muriel Davis-grossfeld,F,United States,USA,1964,Tokyo,Gymnastics,Gymnastics Women's Floor Exercise,No medal,No,,,,,,,,,,,,,,
Muriel Davis-grossfeld,F,United States,USA,1964,Tokyo,Gymnastics,Gymnastics Women's Horse Vault,No medal,No,,,,,,,,,,,,,,
Muriel Davis-grossfeld,F,United States,USA,1964,Tokyo,Gymnastics,Gymnastics Women's Uneven Bars,No medal,No,,,,,,,,,,,,,,
Muriel Davis-grossfeld,F,United States,USA,1964,Tokyo,Gymnastics,Gymnastics Women's Balance Beam,No medal,No,,,,,,,,,,,,,,
Dominique (-thompson),F,United States,USA,1992,Barcelona,Gymnastics,Gymnastics Women's Individual All-Around,No medal,No,,,,,,,,,,,,,,
Dominique (-thompson),F,United States,USA,1992,Barcelona,Gymnastics,Gymnastics Women's Team All-Around,Bronze,No,,,,,,,,,,,,,,
Dominique (-thompson),F,United States,USA,1992,Barcelona,Gymnastics,Gymnastics Women's Floor Exercise,No medal,No,,,,,,,,,,,,,,
Dominique (-thompson),F,United States,USA,1992,Barcelona,Gymnastics,Gymnastics Women's Horse Vault,No medal,No,,,,,,,,,,,,,,
Dominique (-thompson),F,United States,USA,1992,Barcelona,Gymnastics,Gymnastics Women's Uneven Bars,No medal,No,,,,,,,,,,,,,,
Dominique (-thompson),F,United States,USA,1992,Barcelona,Gymnastics,Gymnastics Women's Balance Beam,No medal,No,,,,,,,,,,,,,,
Dominique (-thompson),F,United States,USA,1996,Atlanta,Gymnastics,Gymnastics Women's Individual All-Around,No medal,Yes,,,,,,,,,,,,,,
Dominique (-thompson),F,United States,USA,1996,Atlanta,Gymnastics,Gymnastics Women's Team All-Around,Gold,Yes,,,,,,,,,,,,,,
Dominique (-thompson),F,United States,USA,1996,Atlanta,Gymnastics,Gymnastics Women's Floor Exercise,Bronze,Yes,,,,,,,,,,,,,,
Dominique (-thompson),F,United States,USA,1996,Atlanta,Gymnastics,Gymnastics Women's Horse Vault,No medal,Yes,,,,,,,,,,,,,,
Dominique (-thompson),F,United States,USA,1996,Atlanta,Gymnastics,Gymnastics Women's Uneven Bars,No medal,Yes,,,,,,,,,,,,,,
Dominique (-thompson),F,United States,USA,1996,Atlanta,Gymnastics,Gymnastics Women's Balance Beam,No medal,Yes,,,,,,,,,,,,,,
Dominique (-thompson),F,United States,USA,2000,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,No medal,Yes,,,,,,,,,,,,,,
Dominique (-thompson),F,United States,USA,2000,Sydney,Gymnastics,Gymnastics Women's Team All-Around,Bronze,Yes,,,,,,,,,,,,,,
Dominique (-thompson),F,United States,USA,2000,Sydney,Gymnastics,Gymnastics Women's Floor Exercise,No medal,Yes,,,,,,,,,,,,,,
Dominique (-thompson),F,United States,USA,2000,Sydney,Gymnastics,Gymnastics Women's Horse Vault,No medal,Yes,,,,,,,,,,,,,,
Dominique (-thompson),F,United States,USA,2000,Sydney,Gymnastics,Gymnastics Women's Uneven Bars,No medal,Yes,,,,,,,,,,,,,,
Dominique (-thompson),F,United States,USA,2000,Sydney,Gymnastics,Gymnastics Women's Balance Beam,No medal,Yes,,,,,,,,,,,,,,
Gabrielle Douglas,F,United States,USA,2012,London,Gymnastics,Gymnastics Women's Individual All-Around,Gold,Yes,,,,,,,,,,,,,,
Gabrielle Douglas,F,United States,USA,2012,London,Gymnastics,Gymnastics Women's Team All-Around,Gold,Yes,,,,,,,,,,,,,,
Gabrielle Douglas,F,United States,USA,2012,London,Gymnastics,Gymnastics Women's Floor Exercise,No medal,Yes,,,,,,,,,,,,,,
Gabrielle Douglas,F,United States,USA,2012,London,Gymnastics,Gymnastics Women's Uneven Bars,No medal,Yes,,,,,,,,,,,,,,
Gabrielle Douglas,F,United States,USA,2012,London,Gymnastics,Gymnastics Women's Balance Beam,No medal,Yes,,,,,,,,,,,,,,
Gabrielle Douglas,F,United States,USA,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,No medal,Yes,,,,,,,,,,,,,,
Gabrielle Douglas,F,United States,USA,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,Gold,Yes,,,,,,,,,,,,,,
Gabrielle Douglas,F,United States,USA,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise,No medal,Yes,,,,,,,,,,,,,,
Gabrielle Douglas,F,United States,USA,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,No medal,Yes,,,,,,,,,,,,,,
Gabrielle Douglas,F,United States,USA,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,No medal,Yes,,,,,,,,,,,,,,
Margaret (-colette),F,United States,USA,1936,Berlin,Gymnastics,Gymnastics Women's Team All-Around,No medal,No,,,,,,,,,,,,,,
